HedgeDt,Product_Detail,Indicator,Budget,Part,Cap,Floor,Spec_Rate,Spread,Asset_Charge,Multiplier
2023-11-01,IUL23,NASIDX,0.053,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-11-01,IUL23,INDEX,0.055,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-11-01,IUL23,INXFEE,0.0463,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-11-01,IUL23,INXHIM,0.063,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-11-01,IUL23,INXLOM,0.063,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-11-01,GIUL21,INDEX,0.0517,1.0,0.0925,0.0,0.0,0.0,0.0,0.0
2023-11-01,GIUL21,INXFEE,0.0416,1.0,9.9999,0.0,0.0,0.09,0.0,0.0
2023-11-01,GIUL21,MARPRT,0.0222,2.2,9.9999,0.0,0.0,0.0,0.0,0.0
2023-11-01,GIUL21,NASIDX,0.0496,1.0,0.0925,0.0,0.0,0.0,0.0,0.0
2023-11-01,IUL14NY,INDEX,0.0482,1.0,0.085,0.0,0.0,0.0,0.0,0.0
2023-11-01,IUL14NY,INX150,0.0313,1.0,0.07,0.015,0.0,0.0,0.0,0.0
2023-11-01,IUL14NY,INXFEE,0.0476,1.0,9.9999,0.0,0.0,0.0775,0.0,0.0
2023-11-01,IUL14NY,INXSPC,0.0459,1.0,9.9999,0.0,0.065,0.0,0.0,0.0
2023-11-01,IUL14BNY,INDEX,0.0446,1.0,0.0775,0.0,0.0,0.0,0.0,0.0
2023-11-01,IUL14BNY,INX150,0.0247,1.0,0.0575,0.015,0.0,0.0,0.0,0.0
2023-11-01,IUL14BNY,INXFEE,0.043,1.0,9.9999,0.0,0.0,0.087,0.0,0.0
2023-11-01,IUL14BNY,INXSPC,0.0402,1.0,9.9999,0.0,0.057,0.0,0.0,0.0
2023-12-01,IUL08,INDEX,0.0533,1.0,0.0975,0.0,0.0,0.0,0.0,0.0
2023-12-01,IUL14,INDEX,0.0533,1.0,0.0975,0.0,0.0,0.0,0.0,0.0
2023-12-01,IUL14,INX150,0.0382,1.0,0.085,0.015,0.0,0.0,0.0,0.0
2023-12-01,IUL14,INXFEE,0.0418,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-12-01,IUL14,INXSPC,0.0537,1.0,9.9999,0.0,0.075,0.0,0.0,0.0
2023-12-01,IUL14B,INDEX,0.0418,1.0,0.0725,0.0,0.0,0.0,0.0,0.0
2023-12-01,IUL14B,INX150,0.0259,1.0,0.06,0.015,0.0,0.0,0.0,0.0
2023-12-01,IUL14B,INXFEE,0.0372,1.0,9.9999,0.0,0.0,0.09,0.0,0.0
2023-12-01,IUL14B,INXSPC,0.0429,1.0,9.9999,0.0,0.06,0.0,0.0,0.0
2023-12-01,IUL19,INDEX,0.0533,1.0,0.0975,0.0,0.0,0.0,0.0,0.0
2023-12-01,IUL19,INXFEE,0.0418,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-12-01,IUL19,INXHIM,0.062,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-12-01,IUL19,INXLOM,0.062,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-12-01,IUL21,MARPRT,0.0222,2.4,9.9999,0.0,0.0,0.0,0.0,0.0
2023-12-01,IUL21,NASIDX,0.0539,1.0,0.1025,0.0,0.0,0.0,0.0,0.0
2023-12-01,IUL21,INDEX,0.0554,1.0,0.1025,0.0,0.0,0.0,0.0,0.0
2023-12-01,IUL21,INXFEE,0.0418,1.0,9.9999,0.0,0.0,0.08,0.0,0.0
2023-12-01,IUL21,INXHIM,0.062,1.0,0.12,0.0,0.0,0.0,0.0415,0.6
2023-12-01,IUL21,INXLOM,0.062,1.0,0.12,0.0,0.0,0.0,0.0215,0.24
2023-12-01,IUL23,MARPRT,0.0222,2.4,9.9999,0.0,0.0,0.0,0.0,0.0
2023-12-01,IUL23,NASIDX,0.0528,1.0,0.1,0.0,0.0,0.0,0.0,0.0
2023-12-01,IUL23,INDEX,0.0544,1.0,0.1,0.0,0.0,0.0,0.0,0.0
