HedgeDate,Product_Detail,Indicator,Budget
8/1/2024,IUL14BNY,INDEX,0.0432
8/1/2024,IUL14BNY,INX150,0.0242
8/1/2024,IUL14BNY,INXFEE,0.0324
8/1/2024,IUL14BNY,INXSPC,0.0419
8/1/2024,IUL14NY,INDEX,0.0465
8/1/2024,IUL14NY,INX150,0.0302
8/1/2024,IUL14NY,INXFEE,0.0365
8/1/2024,IUL14NY,INXSPC,0.0477
8/1/2024,IUL19,INDEX,0.0515
8/1/2024,IUL19,INXFEE,0.0354
8/1/2024,IUL19,INXHIM,0.059
8/1/2024,IUL19,INXLOM,0.059
8/1/2024,IUL21,INDEX,0.0534
8/1/2024,IUL21,INXFEE,0.0354
8/1/2024,IUL21,INXHIM,0.059
8/1/2024,IUL21,INXLOM,0.059
8/1/2024,IUL21,MARPRT,0.0228
8/1/2024,IUL21,NASIDX,0.052
8/1/2024,IUL23,INDEX,0.0525
8/1/2024,IUL23,INXFEE,0.0354
8/1/2024,IUL23,INXHIM,0.059
8/1/2024,IUL23,INXLOM,0.059
8/1/2024,IUL23,MARPRT,0.0228
8/1/2024,IUL23,NASIDX,0.051
9/3/2024,GIUL21,INDEX,0.049
9/3/2024,GIUL21,INXFEE,0.0303
9/3/2024,GIUL21,MARPRT,0.0552
9/3/2024,GIUL21,NASIDX,0.0471
9/3/2024,GIUL23,INDEX,0.0499
9/3/2024,GIUL23,INXFEE,0.0303
9/3/2024,GIUL23,MARPRT,0.0229
9/3/2024,GIUL23,NASIDX,0.0482
9/3/2024,IUL08,INDEX,0.0509
9/3/2024,IUL14,INDEX,0.0509
9/3/2024,IUL14,INX150,0.0364
9/3/2024,IUL14,INXFEE,0.0344
9/3/2024,IUL14,INXSPC,0.0549
9/3/2024,IUL14B,INDEX,0.0405
9/3/2024,IUL14B,INX150,0.0343
9/3/2024,IUL14B,INXFEE,0.0303
9/3/2024,IUL14B,INXSPC,0.0439
9/3/2024,IUL14BNY,INDEX,0.0427
9/3/2024,IUL14BNY,INX150,0.0239
9/3/2024,IUL14BNY,INXFEE,0.0315
9/3/2024,IUL14BNY,INXSPC,0.0417
